temperature_c,humidity_percent,wind_speed_mps,pressure_hpa,heat_index_c,heat_level,observed_at
34.2,71,,,48,danger,2026-03-24T17:43:49.598Z
34.2,71,,,48,danger,2026-03-24T19:39:23.718Z
25.3,73,,,26.4,safe,2026-03-24T19:47:45.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.7,76,,,25.5,safe,2026-03-24T19:58:50.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.4,76,,,25.1,safe,2026-03-24T20:09:42.000Z
24.6,75,,,25.4,safe,2026-03-24T20:19:54.000Z
24.6,75,,,25.4,safe,2026-03-24T20:19:54.000Z
24.6,75,,,25.4,safe,2026-03-24T20:19:54.000Z
24.6,75,,,25.4,safe,2026-03-24T20:19:54.000Z
24.6,75,,,25.4,safe,2026-03-24T20:19:54.000Z
24.6,75,,,25.4,safe,2026-03-24T20:30:48.000Z
24.7,75,,,25.5,safe,2026-03-24T20:31:57.000Z
24.7,75,,,25.5,safe,2026-03-24T20:31:57.000Z
24.7,75,,,25.5,safe,2026-03-24T20:31:57.000Z
